Ticket ID,processed_text,Ticket Type,Ticket Priority
1,71701,Technical issue,Critical
3,".{_}.,'.1.8.3",Technical issue,Low
7,".'','.?1",Product inquiry,Critical
11,800 799 0808.:'2,Cancellation request,High
15,"330:2007:11,532",Billing inquiry,High
18,0]-[0]-[0]-[0,Product inquiry,High
21,"""""-1.10.2""1.10.2""""-",Refund request,High
23,.)1.3.2.13.0,Cancellation request,Medium
32,29.89,Technical issue,Medium
35,"3,,{_}",Refund request,Low
46,".""'1.0",Product inquiry,Low
50,".,303.938.2837",Technical issue,Medium
56,3–9,Cancellation request,Critical
64,4.1.7,Billing inquiry,High
75,.[1] [2]-,Billing inquiry,Critical
86,.?12,Product inquiry,High
89,|28 3028 3032||,Billing inquiry,Critical
98,.?1,Product inquiry,High
99,.12,Billing inquiry,High
119,1){__},Refund request,High
120,5.2.2.5,Billing inquiry,Low
121,.!55,Billing inquiry,Medium
124,"12.09.2017,:*[1]*[2]*[3",Product inquiry,Low
125,----#__1//[01,Technical issue,High
129,4.3.0 4.2.2,Cancellation request,Medium
134,.15,Refund request,Critical
137,33.00,Cancellation request,Critical
140,10:44:17][':2,Cancellation request,Low
143,30''-,Billing inquiry,High
145,.31111011148101310,Refund request,Low
149,1:0:0:0:0:0[-,Refund request,High
154,4:.#5:{_}.#6,Technical issue,Medium
155,6.0.2.6.0.1.6.0.0,Technical issue,Medium
157,1.1.4.29,Product inquiry,Low
162,"0,""0",Refund request,High
167,"3.99-$3.98,25",Refund request,Medium
169,.'.?.2,Billing inquiry,High
176,01:12:47.547][/,Technical issue,Medium
177,"-11,""""#25-,-",Technical issue,Medium
179,5.00 $13.00,Billing inquiry,Medium
182,-100,Cancellation request,Critical
185,1.1%.2.1%.3,Refund request,High
193,17:42]23 -[37]:-15,Product inquiry,Medium
194,.'.?1 13456,Cancellation request,Critical
197,110—.,Refund request,Low
200,3.6-,Product inquiry,Medium
201,01124/8/::26,Product inquiry,Critical
211,.$50$100$50,Technical issue,Low
213,.23,Technical issue,Medium
215,".{_}.,'.$-",Product inquiry,Low
224,1.13191422152955456214954559.454545.45453057.4545,Refund request,Low
231,"6,$799,$3,600-",Refund request,Low
242,"1),.2",Billing inquiry,Low
247,3/28,Technical issue,Medium
248,".?.—.(@)24,2016",Billing inquiry,Medium
249,2257,Refund request,Critical
253,.'.?''4,Cancellation request,High
264,.1-:$4.99,Product inquiry,Medium
266,"25:$125:$250:$500:$1,000:$2,000:$3,000:$4,000:$",Cancellation request,Medium
271,.?#1,Billing inquiry,Critical
285,.(_=='\,Billing inquiry,Low
311,810/,Technical issue,High
317,-.3,Cancellation request,High
